Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/first,500,773,121,21061,"3026,64","1,600%","13,57552","3,37","1,66","254,0"
/get_method,500,961,122,21059,"3736,22","2,800%","13,57478","3,39","1,91","255,8"
/object_info,500,823,123,21061,"3044,09","1,400%","13,57036","3,90","2,13","294,4"
/user_info_2,500,688,122,21058,"2856,07","1,600%","13,56926","6,91","3,22","521,7"
/user_info_3,500,841,123,21061,"3198,60","1,800%","13,57036","5,61","3,20","423,0"
/object_info_2,500,439,122,21061,"1676,44","0,400%","13,57736","6,39","2,17","482,0"
/object_info_1,500,438,122,21056,"1921,29","0,600%","13,55859","3,62","2,13","273,7"
/object_info_4,500,823,123,21061,"3429,40","2,400%","13,56300","4,15","2,16","313,1"
/object_info_3,500,609,123,21059,"2480,99","1,000%","13,57036","7,37","2,18","555,8"
TOTAL,4500,711,121,21061,"2895,59","1,511%","118,54896","43,39","20,14","374,8"
